guid,name,summary,start date,end date,related person 1,related person 2,related person 3,related person 4,related person 5,personal related person 1,personal related person 2,personal related person 3,related event 1,related event 2,related event 3,related event 4,related event 5,personal related event 1,personal related event 2,personal related event 3,notes,personal notes,source & license,tags
Etd*}m/.1$,Franco-Prussian War,War between France and Prussia that led to German unification.,1870,1871,Otto von Bismarck (1815–1898): Used the war to rally German states and complete unification.,Helmuth von Moltke the Elder (1800–1891): Commanded German forces to victory over France.,"Napoleon III of France (1808–1873): French emperor, born Louis-Napoléon Bonaparte, defeated and deposed in the conflict.",,,,,,Unification of Germany (1864–1871): Its outcome directly produced the German Empire.,Paris Commune (1871): The siege and defeat of Paris helped trigger the Commune.,Second French Republic (1848–1852): The fall of the Second Empire led to yet another French republican experiment.,,,,,,Ended the French Empire and enabled the proclamation of the German Empire.,,ChatGPT 5.1,
xC3jmsN8kl,Crimean War,"Conflict between the Russian Empire and an alliance of the Ottoman Empire, Britain, and France. Russia came out significantly weakened.",1853,1856,"Queen Victoria (1819–1901): British monarch during the war, which involved major British deployment.",Alexander II of Russia (1818–1881): Tsar who inherited the conflict and its consequences for Russian reform.,Karl Marx (1818–1883): Commentated on the war as a journalist and critic of European diplomacy.,,,,,,Congress of Vienna (1814–1815): Tested the balance-of-power system established at Vienna.,Unification of Italy (Risorgimento) (1848–1871): Piedmont’s role in the war raised its international standing.,Scramble for Africa (1881–1914): Imperial rivalries evident in Crimea later extended into colonial competition.,,,,,,"One of the first modern wars, with railways, telegraphs, and war reporting.",,ChatGPT 5.1,
NNealv^CM|,Scramble for Africa,Rapid European colonization and partition of Africa.,1881,1914,Queen Victoria (1819–1901): Symbol of British imperial expansion into Africa.,Otto von Bismarck (1815–1898): Hosted the Berlin Conference that formalized colonial partition.,Wilhelm I of Prussia/Germany (1797–1888): German emperor during the early phase of German colonial acquisition.,,,,,,Second Industrial Revolution (1870–1914): Industrial powers sought raw materials and markets in Africa.,Expansion of Railways (1830–1870): Rail technology enabled deeper penetration and control of territories.,Crimean War (1853–1856): Earlier power rivalries evolved into overseas competition.,,,,,,"Driven by industrial demand, nationalism, and imperial competition.",,ChatGPT 5.1,
dgiyJ+Cd>z,Paris Commune,Radical socialist government that briefly ruled Paris.,1871,,Karl Marx (1818–1883): Celebrated the Commune as a prototype of proletarian government.,Victor Hugo (1802–1885): Reflected on Parisian upheavals in his political and literary work.,Louis Blanc (1811–1882): Long-time advocate of social republicanism whose ideas resonated with Communards.,,,,,,Franco-Prussian War (1870–1871): The defeat of France and siege of Paris set the stage for the Commune.,French Revolution (1789–1799): Communards drew inspiration from earlier revolutionary traditions.,Second French Republic (1848–1852): Its collapse and the failure of moderate republicanism helped radicalize Parisian politics.,,,,,,Regarded as an early precursor to later socialist and revolutionary movements.,,ChatGPT 5.1,
H4QZD&0V>x,Second French Republic,Short-lived republican government formed after the 1848 revolution in France.,1848,1852,Napoleon III of France (1808–1873): Elected president of the Republic before proclaiming himself emperor; born Louis-Napoléon Bonaparte.,"Louis Blanc (1811–1882): Served briefly in the provisional government, advocating social reforms.",Victor Hugo (1802–1885): Participated in politics and later chronicled the era’s struggles.,,,,,,Revolutions of 1848 (1848–1849): Created as a direct outcome of the 1848 revolution in France.,Paris Commune (1871): Later radical republicanism emerged after the fall of the Second Empire.,Franco-Prussian War (1870–1871): The war ended the Second Empire that had replaced the Republic.,,,,,,Ended when Louis-Napoleon declared himself Emperor Napoleon III.,,ChatGPT 5.1,
JC`6a_0/R_,Voyage of the HMS <i>Beagle</i>,Scientific expedition during which Darwin developed key evolutionary insights.,1831,1836,"Charles Darwin (1809–1882): Sailed on HMS Beagle, gathering observations that led to his theory of evolution.","Alfred Russel Wallace (1823–1913): Later independently conceived a theory of evolution by natural selection, closely linked to Darwin’s work.",Thomas Henry Huxley (1825–1895): Became a leading defender of Darwin’s ideas after the voyage’s scientific results were published.,,,,,,Industrial Revolution (c. 1760–c. 1840): Took place during a period of expanding scientific curiosity and exploration.,Second Industrial Revolution (1870–1914): The science it inspired fed into later technological advances.,Scramble for Africa (1881–1914): Scientific exploration and classification later intersected with imperial expansion.,,,,,,Provided Darwin with crucial observations that led to his theory of natural selection.,,ChatGPT 5.1,
tZ3e(sOwIZ,Unification of Italy (Risorgimento),Series of political and military efforts to unify the Italian peninsula.,1848,1871,Giuseppe Mazzini (1805–1872): Prominent Italian nationalist whose ideas inspired the Risorgimento.,Napoleon III of France (1808–1873): Supported and then constrained Italian unification efforts through diplomacy and war.,Queen Victoria (1819–1901): British monarch whose government often backed Italian national aspirations.,,,,,,Revolutions of 1848 (1848–1849): Italian uprisings in 1848 were key stages of the Risorgimento.,Crimean War (1853–1856): Participation by Piedmont-Sardinia won allies useful for unification.,Unification of Germany (1864–1871): Both processes reflected 19th-century nationalist movements.,,,,,,Completed with Rome becoming the capital.,,ChatGPT 5.1,
n*TqKE5:V0,Expansion of Railways,Rapid spread of railway networks that transformed travel and industry.,1830,1870,George Stephenson (1781–1848): Helped pioneer railway technology adopted across Europe.,Isambard Kingdom Brunel (1806–1859): Built major railway lines that demonstrated the potential of rail transport.,Queen Victoria (1819–1901): Her use of rail travel popularized the new mode of transportation.,,,,,,Industrial Revolution (c. 1760–c. 1840): Grew out of earlier industrial advances in steam and iron.,Second Industrial Revolution (1870–1914): Laid infrastructure later used for heavy industry and mass production.,Scramble for Africa (1881–1914): Railroads became tools of colonial control and resource extraction.,,,,,,"Enabled mass transportation, urban growth, and national integration.",,ChatGPT 5.1,
p1KG=fP9TY,Second Industrial Revolution,"Wave of industrialization marked by steel, electricity, and chemicals.",1870,1914,Queen Victoria (1819–1901): Reigned over Britain during the height of late-19th-century industrial growth.,Otto von Bismarck (1815–1898): Presided over Germany’s rapid industrial expansion after unification.,Alexander II of Russia (1818–1881): Encouraged modernization and industrial development within the Russian Empire.,,,,,,Expansion of Railways (1830–1870): Relied on and extended railway infrastructure.,Scramble for Africa (1881–1914): Industrial powers sought overseas resources and markets.,American Civil War (1861–1865): Postwar developments in the United States formed part of the new industrial age.,,,,,,"Laid foundations for modern industry, global trade, and technology.",,ChatGPT 5.1,
k+T}oG}0H<,Second Schleswig War,,1864,,,,,,,,,,,,,,,,,,,,,
s:7/cm<}cq,Victorian Era,,1837,1901,,,,,,,,,,,,,,,,,,,,
n0Oxm/&Y]S,Indian Rebellion,,1857,,,,,,,,,,,,,,,,,,,,,
IySH}sN{1H,Great Exhibition,,1851,,,,,,,,,,,,,,,,,,,,,
ggN(ty*<tv,First International,,1864,1876,,,,,,,,,,,,,,,,,,,,
mA?9~5g^`j,Publication of <i>On the Origin of Species</i>,,1859,,,,,,,,,,,,,,,,,,,,,
"EoY6,%{?Va",Victorian scientific debates,,mid,late 19th century,,,,,,,,,,,,,,,,,,,,
PyDN_THI&f,Battle of Waterloo,,1815,,,,,,,,,,,,,,,,,,,,,
ry%G6qtxA3,Treaty of Tilsit,,1807,,,,,,,,,,,,,,,,,,,,,
ghLp#id#$Y,Premiere of the <i>Eroica</i> Symphony,,1805,,,,,,,,,,,,,,,,,,,,,
QB2P=2fN*$,Proclamation of the German Empire at Versailles,,1871,,,,,,,,,,,,,,,,,,,,,
ci-~PN6znY,Second Italian War of Independence,,1859,,,,,,,,,,,,,,,,,,,,,
hpMl/7`EEU,Victorian scientific and educational reforms,,mid,19th century,,,,,,,,,,,,,,,,,,,,
lMX-@{U8XK,Emancipation of the Serfs,,1861,,,,,,,,,,,,,,,,,,,,,
lO/pAd.N4~,Great Reforms,,1860s,1870s,,,,,,,,,,,,,,,,,,,,
x>D]_y=f^W,Russo-Turkish War,,1877,1878,,,,,,,,,,,,,,,,,,,,
mFCT}}k.5m,Second French Empire,,1852,1870,,,,,,,,,,,,,,,,,,,,
bw.(Cklxwn,Voyage to the Malay Archipelago,,1854,1862,,,,,,,,,,,,,,,,,,,,
"g>]+4$jH,C",Joint 1858 Linnean Society presentation,,,,,,,,,,,,,,,,,,,,,,,
KI:d0!Ww^=,Oxford evolution debate,,1860,,,,,,,,,,,,,,,,,,,,,
cy{$cK?6.f,X Club,,founded 1864,,,,,,,,,,,,,,,,,,,,,
P.($}Ptw[o,Development of the separate condenser,,1760s,,,,,,,,,,,,,,,,,,,,,
FA;f$ev.a+,Expansion of steam power in mining and manufacturing,,late 18th century,,,,,,,,,,,,,,,,,,,,,
Cw6C6]7la0,Stockton & Darlington Railway,,1825,,,,,,,,,,,,,,,,,,,,,
AAVY@pU60u,Liverpool & Manchester Railway,,1830,,,,,,,,,,,,,,,,,,,,,
EC-yETZh$2,Early Railway Age,,1820s,1840s,,,,,,,,,,,,,,,,,,,,
"uUH~`,#FbM",Great Western Railway,,begun 1830s,,,,,,,,,,,,,,,,,,,,,
c@fC6gyNc*,SS *Great Britain*,,launched 1843,,,,,,,,,,,,,,,,,,,,,
Azil+f+l2&,Construction of the Thames Tunnel,,1825,1843,,,,,,,,,,,,,,,,,,,,
Mrgq{%MR)=,National Workshops,,1848,,,,,,,,,,,,,,,,,,,,,
w/X6b)c6Fh,Hungarian Revolution of 1848–1849,,,,,,,,,,,,,,,,,,,,,,,
"E])bz,cG,h",Austrian Empire’s suppression of the revolution,,1849,,,,,,,,,,,,,,,,,,,,,
CdiX1=2_FJ,Roman Republic of 1849,,,,,,,,,,,,,,,,,,,,,,,
iBlae|x`os,Reorganization of the Prussian General Staff,,mid,19th century,,,,,,,,,,,,,,,,,,,,
lPQ-3ml4$7,Emancipation Proclamation,,1863,,,,,,,,,,,,,,,,,,,,,
i8q[`T$yM;,Thirteenth Amendment,,1865,,,,,,,,,,,,,,,,,,,,,
q2l{GD|`K#,Siege of Vicksburg,,1863,,,,,,,,,,,,,,,,,,,,,
q1`%l#|GH#,Appomattox Campaign,,1865,,,,,,,,,,,,,,,,,,,,,
h3-uG4vyZ$,Army of Northern Virginia,,1862,1865,,,,,,,,,,,,,,,,,,,,
Dh=%iw=>*R,Concert of Europe,,1815,c. 1848,,,,,,,,,,,,,,,,,,,,
g66wQcS58d,Expedition of the Thousand,,1860,,,,,,,,,,,,,,,,,,,,,
b^_ssJ;R&g,Battle of the Nile,,1798,,,,,,,,,,,,,,,,,,,,,
nBA!Rqi^j7,Battle of Copenhagen,,1801,,,,,,,,,,,,,,,,,,,,,
hIP`/;.Jaw,Battle of Trafalgar,,1805,,,,,,,,,,,,,,,,,,,,,
s/pEdd-XMO,Second Reform Act,,1867,,,,,,,,,,,,,,,,,,,,,
MA64t.X|/X,Congress of Berlin,,1878,,,,,,,,,,,,,,,,,,,,,
mDJF*nb|1-,Purchase of Suez Canal shares,,1875,,,,,,,,,,,,,,,,,,,,,
su[Q[=~E@C,Venezuelan War of Independence,,1810,1823,,,,,,,,,,,,,,,,,,,,
g$#NBcCy?q,Battle of Ayacucho,,1824,,,,,,,,,,,,,,,,,,,,,
HKNFcaHTi9,Congress of Angostura,,1819,,,,,,,,,,,,,,,,,,,,,
z;m~=.c*3i,Assassination of Alexander II,,1881,,,,,,,,,,,,,,,,,,,,,
BdEUivk=CD,Russification policies,,1880s,1890s,,,,,,,,,,,,,,,,,,,,
yg>|]+_4Zb,Construction of the Trans-Siberian Railway,,begun 1891,,,,,,,,,,,,,,,,,,,,,
rq|k3)-ift,Austro-Hungarian Compromise,,1867,,,,,,,,,,,,,,,,,,,,,
b(QWS}0L-?,Assassination of Archduke Franz Ferdinand,,1914,,,,,,,,,,,,,,,,,,,,,
