"guid","name","summary","start date","end date","related person 1","related person 2","related person 3","related person 4","related person 5","personal related person 1","personal related person 2","personal related person 3","related event 1","related event 2","related event 3","related event 4","related event 5","personal related event 1","personal related event 2","personal related event 3","notes","personal notes","source & license","tags"
"Dh=%iw=>*R","Concert of Europe","Diplomatic system of balance of power among European great powers established after the Napoleonic Wars to maintain stability and prevent major conflicts.","1815","c. 1848","Alexander I of Russia (1777–1825): Russian emperor and one of the leading personalities maintaining the system.","Klemens von Metternich (1773–1859): Austrian chancellor who chaired the Congress of Vienna and was a leading architect of the Concert system.","Robert Stewart, Viscount Castlereagh (1769–1822): British foreign secretary who was instrumental in establishing the Concert.","","","","","","Congress of Vienna (1814–1815): Established the Concert of Europe system.","Napoleonic Wars (1803–1815): The Concert was created to prevent recurrence of such conflicts.","Revolutions of 1848 (1848–1849): Challenged the Concert system and marked the end of its original form.","","","","","","System of periodic conferences among five great powers (Britain, Russia, Austria, Prussia, France) to maintain balance of power and suppress revolutionary movements. Challenged by revolutions of 1830 and especially 1848, which combined nationalist and liberal ideas against the conservative order.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"HKNFcaHTi9","Congress of Angostura","Revolutionary congress convened by Bolívar that proclaimed Gran Colombia, uniting Venezuela, New Granada, and Quito; Bolívar delivered his influential address on constitutional government.","1819","","Francisco de Paula Santander (1792–1840): Appointed vice president of Gran Colombia at the congress.","Simón Bolívar (1783–1830): Convened the congress and delivered his famous address on February 15, 1819.","","","","","","","Napoleonic Wars (1803–1815): European conflicts provided context for Latin American independence movements.","Venezuelan War of Independence (1810–1823): The congress was convened during the independence struggle.","Victorian Era (1837–1901): Later contemporary period.","","","","","","Opened February 15, 1819, in Angostura (today Ciudad Bolívar). Bolívar delivered address warning against imitating Anglo-American institutions and advocating centralized government with hereditary Senate. December 17, 1819, congress proclaimed Gran Colombia through the Fundamental Law of the Republic, uniting Venezuela, New Granada, and Quito. Bolívar appointed president, Santander vice president. Full constitution later written by Congress of Cúcuta (1821).","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::South_America"
"MA64t.X|/X","Congress of Berlin","Major diplomatic conference that revised the Treaty of San Stefano ending the Russo-Turkish War; redrew Balkan borders and maintained European balance of power.","1878","","Alexander II of Russia (1818–1881): Russian tsar whose gains from the Russo-Turkish War were reduced by the congress.","Benjamin Disraeli (1804–1881): British Prime Minister who secured Cyprus and limited Russian expansion.","Otto von Bismarck (1815–1898): German Chancellor who chaired the congress as ""honest broker"".","","","","","","Concert of Europe (1815–c. 1848): Continuation of the balance of power diplomatic tradition.","Russo-Turkish War (1877–1878): The congress revised the war's peace settlement.","Victorian Era (1837–1901): Contemporary period, part of 19th century European diplomacy.","","","","","","Held June 13-July 13, 1878. Reduced Bulgaria's size from Treaty of San Stefano. Granted full independence to Serbia, Romania, Montenegro. Austria-Hungary occupied Bosnia-Herzegovina. Britain gained Cyprus. Bismarck played neutral mediator role. Demonstrated continued European great power diplomacy.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"dEQz3e8<~M","Congress of Vienna","Diplomatic conference to restore European order after the Napoleonic Wars.","1814","1815","Alexander I of Russia (1777–1825): One of the leading monarchs who redrew Europe’s map after Napoleon.","Arthur Wellesley, 1st Duke of Wellington (1769–1852): Represented British interests at the peace negotiations.","Ludwig van Beethoven (1770–1827): Lived in Vienna and composed works reflecting the era of Napoleonic conflict.","","","","","","Crimean War (1853–1856): Rivalries within the Vienna system contributed to later great-power conflicts.","Napoleonic Wars (1803–1815): The congress was convened to settle the outcome of the wars.","Revolutions of 1848 (1848–1849): The conservative order created in Vienna was challenged by later revolutions.","","","","","","Established a balance-of-power system that shaped Europe for decades.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"xC3jmsN8kl","Crimean War","Conflict between the Russian Empire and an alliance of the Ottoman Empire, Britain, and France. Russia came out significantly weakened.","1853","1856","Alexander II of Russia (1818–1881): Tsar who inherited the conflict and its consequences for Russian reform.","Karl Marx (1818–1883): Commentated on the war as a journalist and critic of European diplomacy.","Queen Victoria (1819–1901): British monarch during the war, which involved major British deployment.","","","","","","Congress of Vienna (1814–1815): Tested the balance-of-power system established at Vienna.","Scramble for Africa (1881–1914): Imperial rivalries evident in Crimea later extended into colonial competition.","Unification of Italy (Risorgimento) (1848–1871): Piedmont’s role in the war raised its international standing.","","","","","","One of the first modern wars, with railways, telegraphs, and war reporting.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Asia, UH::Region::Europe"
"lMX-@{U8XK","Emancipation of the Serfs","Alexander II freed over 23 million Russian serfs, granting them rights of free citizens; major modernization reform prompted by Crimean War defeat.","1861","","Alexander II of Russia (1818–1881): Issued the Emancipation Manifesto to modernize Russia and prevent revolution from below.","","","","","","","","Assassination of Alexander II (1881): He was assassinated partly due to dissatisfaction with pace of reforms.","Crimean War (1853–1856): Defeat exposed Russia's backwardness and prompted reforms.","Victorian Era (1837–1901): Contemporary with broader 19th century reform movements.","","","","","","Issued March 3, 1861. While serfs gained personal freedom and were promised land, the acquisition process was slow and expensive.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"lPQ-3ml4$7","Emancipation Proclamation (Proclamation 95)","Presidential proclamation issued by Lincoln declaring freedom for enslaved people in Confederate states; transformed the Civil War into a war to end slavery and enabled Black soldiers to join Union forces.","1863","","Abraham Lincoln (1809–1865): President who issued the proclamation as a war measure.","Frederick Douglass (1818–1895): Leading abolitionist who advocated for the proclamation and Black military service.","","","","","","","American Civil War (1861–1865): Issued during the war, transformed its purpose to include ending slavery.","Thirteenth Amendment to the US Constitution (1865): Completed the work by permanently abolishing slavery.","Victorian Era (1837–1901): Contemporary period.","","","","","","Issued January 1, 1863. Declared free all enslaved people in rebellious states. Did not apply to border states or areas under Union control. Enabled nearly 200,000 Black soldiers and sailors to fight for the Union. Prevented European intervention on behalf of Confederacy by making the war about ending slavery.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::North_America"
"n*TqKE5:V0","Expansion of Railways","Rapid spread of railway networks that transformed travel and industry.","1830","1870","George Stephenson (1781–1848): Helped pioneer railway technology adopted across Europe.","Isambard Kingdom Brunel (1806–1859): Built major railway lines that demonstrated the potential of rail transport.","Queen Victoria (1819–1901): Her use of rail travel popularized the new mode of transportation.","","","","","","Industrial Revolution (c. 1760–c. 1840): Grew out of earlier industrial advances in steam and iron.","Scramble for Africa (1881–1914): Railroads became tools of colonial control and resource extraction.","Second Industrial Revolution (1870–1914): Laid infrastructure later used for heavy industry and mass production.","","","","","","Enabled mass transportation, urban growth, and national integration.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"g66wQcS58d","Expedition of the Thousand","Garibaldi's volunteer force of about 1,000 ""redshirts"" conquered Sicily and southern Italy from Bourbon rule; crucial military campaign in Italian unification.","1860","","Camillo Benso, Count of Cavour (1810–1861): Sardinian Prime Minister who worked with Garibaldi's achievement toward unification.","Giuseppe Garibaldi (1807–1882): Led the expedition and conquered the Kingdom of the Two Sicilies.","Victor Emmanuel II (1820–1878): King who received Garibaldi's conquests on October 26, 1860.","","","","","","Second Italian War of Independence (1859): Earlier war that set the stage for Garibaldi's expedition.","Unification of Italy (Risorgimento) (1848–1871): This expedition was the decisive military campaign that made unification possible.","Victorian Era (1837–1901): Contemporary period.","","","","","","Departed Genoa May 5, landed Marsala May 11, 1860. Conquered Sicily in three months through battles at Calatafimi (May 15) and Palermo (June 6). Crossed to mainland August 20, entered Naples September 7. Garibaldi relinquished dictatorship to Victor Emmanuel October 26. Led to Kingdom of Italy proclamation March 1861.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"ggN(ty*<tv","First International","First international organization uniting socialist and labor movements; founded by Marx and others, dissolved after splits between communists and anarchists.","1864","1876","Karl Marx (1818–1883): Led the General Council and wrote the organization's founding documents.","Mikhail Bakunin (1814–1876): Leading anarchist whose conflict with Marx led to the International's split in 1872.","","","","","","","Paris Commune (1871): Major revolutionary event that occurred during the First International's existence.","Revolutions of 1848 (1848–1849): Earlier revolutionary wave that influenced socialist movements.","Victorian Era (1837–1901): Occurred during this period, part of 19th century political movements.","","","","","","Also known as the International Workingmen's Association. Established theoretical foundations for modern socialism, communism, and anarchism.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"Etd*}m/.1$","Franco-Prussian War","War between France and Prussia that led to German unification.","1870","1871","Helmuth von Moltke the Elder (1800–1891): Commanded German forces to victory over France.","Napoleon III (1808–1873): French emperor, born Louis-Napoléon Bonaparte, defeated and deposed in the conflict.","Otto von Bismarck (1815–1898): Used the war to rally German states and complete unification.","","","","","","Paris Commune (1871): The siege and defeat of Paris helped trigger the Commune.","Second French Republic (1848–1852): The fall of the Second Empire led to yet another French republican experiment.","Unification of Germany (1866–1871): Its outcome directly produced the German Empire.","","","","","","Ended the French Empire and enabled the proclamation of the German Empire.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"HX?soCO%>}","French Invasion of Egypt and Syria","Napoleon's military expedition to Egypt and Syria; initially successful with victories at the Pyramids, but undermined by naval defeat at Aboukir Bay and failed siege of Acre; resulted in French scientific discoveries including the Rosetta Stone.","1798","1801","Horatio Nelson, 1st Viscount Nelson (1758–1805): Destroyed the French fleet at the Battle of the Nile, stranding Napoleon's army in Egypt.","Napoleon Bonaparte (1769–1821): Commanded the expedition seeking to threaten British India and establish French presence in the East.","","","","","","","Congress of Vienna (1814–1815): Later event that dealt with Napoleon's legacy.","French Revolution (1789–1799): The expedition occurred during the Revolutionary period.","Napoleonic Wars (1803–1815): This expedition was a precursor to the Napoleonic Wars.","","","","","","Expedition departed Toulon May 19, 1798. Captured Malta June 12. Battle of the Pyramids July 21 defeated Mamluks. Nelson destroyed French fleet at Battle of the Nile (Aboukir Bay) August 1-3, 1798, stranding French army. Napoleon advanced into Syria but failed to capture Acre after two-month siege (March-May 1799). Napoleon departed Egypt August 23, 1799, leaving General Kléber in command. French forces finally surrendered to British September 1801. Commission des Sciences et des Arts discovered Rosetta Stone in 1799.","","Claude Sonnet 4.5","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Africa, UH::Region::Asia"
"P!g&_%i*G&","French Invasion of Russia","Napoleon’s failed campaign into Russia, marked by massive losses.","1812","","Alexander I of Russia (1777–1825): Defended the Russian Empire against Napoleon’s invasion.","Mikhail Kutuzov (1745–1813): Russian commander whose strategy of retreat and scorched earth devastated Napoleon's army","Napoleon Bonaparte (1769–1821): Launched the ill-fated invasion that devastated his Grande Armée.","","","","","","Congress of Vienna (1814–1815): The invasion’s failure led eventually to the peace negotiations.","Napoleonic Wars (1803–1815): One of the decisive turning points of the war.","Peninsular War (1808–1814): Coincided with other costly campaigns that weakened France.","","","","","","The disastrous retreat severely weakened France’s military power.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Asia, UH::Region::Europe"
"wu8I<wCf$X","French Revolution","Political and social upheaval that ended the French monarchy and reshaped Europe.","1789","1799","Karl Marx (1818–1883): Analyzed the Revolution as a key example of class struggle.","Louis Blanc (1811–1882): Later interpreted and wrote about the Revolution in the context of social justice.","Marie Antoinette (1755–1793): the last Queen of France before the fall of the monarchy during the French Revolution. She was executed.","Napoleon Bonaparte (1769–1821): Rose to prominence as a military leader in the revolutionary wars.","","","","","Congress of Vienna (1814–1815): Aimed to restore order after the revolutionary and Napoleonic era.","Napoleonic Wars (1803–1815): Revolutionary France’s conflicts evolved into the Napoleonic Wars.","Paris Commune (1871): Later radical movements in Paris drew on revolutionary traditions.","","","","","","Introduced radical reforms and inspired revolutionary movements worldwide.","","ChatGPT 5.1","UH::Period::18th_Century, UH::Region::Europe"
"IySH}sN{1H","Great Exhibition","First world's fair showcasing industrial and cultural achievements; held in the Crystal Palace and attracted 6 million visitors.","1851","","Prince Albert of Saxe-Coburg and Gotha (1819–1861): Principal organizer and driving force behind the Great Exhibition.","Queen Victoria (1819–1901): Opened the exhibition and was heavily involved in its planning.","","","","","","","Industrial Revolution (c. 1760–c. 1840): Showcased the achievements of industrialization.","Second Industrial Revolution (1870–1914): Led into further technological advancement.","Victorian Era (1837–1901): The Great Exhibition was the defining cultural event of the era.","","","","","","Generated £186,000 surplus used to found the V&amp;A Museum, Science Museum, and Natural History Museum.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"w/X6b)c6Fh","Hungarian Revolution of 1848–1849","Hungarian uprising against Habsburg rule seeking independence and liberal reforms; inspired by wider European revolutions but crushed by combined Austrian and Russian forces.","1848","1849","Franz Joseph I of Austria (1830–1916): Emperor who called in Russian military aid to crush the revolution.","Lajos Kossuth (1802–1894): Political leader who became virtual dictator and head of state after Hungary declared independence.","Nicholas I of Russia (1796–1855): Tsar who sent 300,000+ troops to help Austria defeat Hungary.","","","","","","Congress of Vienna (1814–1815): Established the Habsburg dominance over Hungary that revolutionaries sought to overthrow.","Revolutions of 1848 (1848–1849): The Hungarian Revolution was part of this wider wave of European revolutions.","Victorian Era (1837–1901): Contemporary period during which this occurred.","","","","","","Revolution began March 15, 1848, with 12 points of demands including press freedom and independent Hungarian ministry. Hungary declared independence and dethroned the Habsburgs on April 14, 1849. Crushed by Austro-Russian forces; last Hungarian units surrendered August 13, 1849. Followed by harsh Austrian martial law until 1867.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"n0Oxm/&Y]S","Indian Rebellion","Major uprising by Indian soldiers and civilians against British East India Company rule; led to direct British Crown control of India.","1857","1858","Bahadur Shah Zafar (1775–1862): Last Mughal emperor, nominally restored to power by rebels in Delhi.","Queen Victoria (1819–1901): Became Empress of India following the rebellion's suppression.","Rani of Jhansi (1828–1858): Queen of Jhansi who led one of the most famous resistance campaigns against the British.","","","","","","Crimean War (1853–1856): British military context of the period, shortly before the rebellion.","Scramble for Africa (1881–1914): Part of broader 19th century imperial expansion.","Victorian Era (1837–1901): Occurred during Victoria's reign, led to major changes in British India policy.","","","","","","Also known as the Sepoy Mutiny. Led to the dissolution of the East India Company and establishment of the British Raj under the Crown.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Asia"
"wXiY(xtcVV","Industrial Revolution","Transition to mechanized production, steam power, and factories; massive changes in work, population, and technology.","c. 1760","c. 1840","George Stephenson (1781–1848): Pioneered steam locomotives, making rail transport a hallmark of industrial change.","Isambard Kingdom Brunel (1806–1859): Engineered railways and bridges that became icons of industrial engineering.","James Watt (1736–1819): Improved the steam engine, helping to trigger the shift to mechanized industry.","","","","","","American Civil War (1861–1865): Industrial capacity, especially in the North, shaped the course of the conflict.","Expansion of Railways (1830–1870): Railway construction was a major outcome and driver of industrialization.","Second Industrial Revolution (1870–1914): Built upon earlier industrial changes with new technologies and industries.","","","","","","Child labor laws, public health reforms, and modern labor movements all emerged as direct responses to industrial society’s problems.","","ChatGPT 5.1","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
"OTfFrU^?wV","Napoleonic Wars","A series of major European conflicts led by Napoleon’s French Empire against various coalitions.","1803","1815","Alexander I of Russia (1777–1825): Allied against Napoleon and played a key role in his eventual defeat.","Arthur Wellesley, 1st Duke of Wellington (1769–1852): Commanded British and allied forces, defeating Napoleon at Waterloo.","Napoleon Bonaparte (1769–1821): Led France in a series of campaigns that reshaped Europe.","","","","","","Congress of Vienna (1814–1815): Settlement that ended the wars and reshaped Europe.","French Revolution (1789–1799): The wars grew out of the revolutionary upheavals in France.","Peninsular War (1808–1814): One of the major campaigns of the broader Napoleonic conflict.","","","","","","These wars dramatically redrew Europe’s borders and spread Napoleonic legal reforms far beyond France. They also accelerated nationalism in Germany, Italy, and Spain.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"dgiyJ+Cd>z","Paris Commune","Radical socialist government that briefly ruled Paris.","1871","","Karl Marx (1818–1883): Celebrated the Commune as a prototype of proletarian government.","Louis Blanc (1811–1882): Long-time advocate of social republicanism whose ideas resonated with Communards.","Victor Hugo (1802–1885): Reflected on Parisian upheavals in his political and literary work.","","","","","","Franco-Prussian War (1870–1871): The defeat of France and siege of Paris set the stage for the Commune.","French Revolution (1789–1799): Communards drew inspiration from earlier revolutionary traditions.","Second French Republic (1848–1852): Its collapse and the failure of moderate republicanism helped radicalize Parisian politics.","","","","","","Regarded as an early precursor to later socialist and revolutionary movements.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"i#?*IF]#=y","Peninsular War","Conflict in Iberia against Napoleon, involving Spain, Portugal, and Britain.","1808","1814","Arthur Wellesley, 1st Duke of Wellington (1769–1852): Led British forces in Spain and Portugal against Napoleon.","Ludwig van Beethoven (1770–1827): Reacted artistically to the anti-Napoleonic struggle in works like “Wellington’s Victory”.","Napoleon Bonaparte (1769–1821): Ordered the invasion of the Iberian Peninsula in his struggle with Britain.","","","","","","Congress of Vienna (1814–1815): Diplomats later addressed the consequences of these campaigns.","French Invasion of Russia (1812): Another major campaign that strained Napoleon’s resources.","Napoleonic Wars (1803–1815): Fought as part of the wider struggle between Napoleon and his enemies.","","","","","","A major drain on French resources and a turning point against Napoleon.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"Q.Fy5g&S2Y","Peruvian War of Independence","Independence struggle led first by San Martín who declared independence in 1821, then by Bolívar who secured final victory; culminated in the decisive battles of Junín and Ayacucho in 1824, ending Spanish rule in South America.","1820","1824","Antonio José de Sucre (1795–1830): Commanded the decisive Battle of Ayacucho in 1824.","José de San Martín (1778–1850): Led the Liberating Expedition from the south, declared independence July 28, 1821, and served as Protector.","Simón Bolívar (1783–1830): Led the northern expedition, took command after San Martín's departure in 1822.","","","","","","Congress of Angostura (1819): Bolívar's earlier revolutionary congress.","Napoleonic Wars (1803–1815): Weakened Spanish colonial control.","Venezuelan War of Independence (1810–1823): Part of the broader South American independence struggle.","","","","","","San Martín landed at Pisco September 1820. Independence declared July 28, 1821 in Lima. Guayaquil Conference July 26, 1822 between San Martín and Bolívar to decide Peru's political fate; San Martín departed September 22, 1822. Bolívar arrived Lima December 10, 1823. Battle of Junín August 6, 1824 commanded by Bolívar. Battle of Ayacucho December 9, 1824 commanded by Sucre secured independence of Peru and all South America.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::South_America"
